date,TargetXGB_scale
2016-11-10 0:00,-290.5879894
2016-11-11 0:00,-121.9921762
2016-11-12 0:00,-157.7172738
2016-11-13 0:00,-204.9314835
2016-11-14 0:00,2109.26083
2016-11-15 0:00,-36.85339314
2016-11-16 0:00,1697.526153
2016-11-17 0:00,-1151.070076
2016-11-18 0:00,-407.5351805
2016-11-19 0:00,-597.0838639
2016-11-20 0:00,295.696179
2016-11-21 0:00,119.9837384
2016-11-22 0:00,173.8364949
2016-11-23 0:00,-421.4047548
2016-11-24 0:00,-197.0483684
2016-11-25 0:00,-387.7269871
2016-11-26 0:00,1145.613927
2016-11-27 0:00,-63.35611632
2016-11-28 0:00,120.7718631
2016-11-29 0:00,-666.1033325
2016-11-30 0:00,-45.09104105
2016-12-01 0:00,-131.0686301
2016-12-02 0:00,1613.658759
2016-12-03 0:00,-200.6327309
2016-12-04 0:00,30.34861569
2016-12-05 0:00,-845.7624178
2016-12-06 0:00,-254.3516781
2016-12-07 0:00,-32.43558244
2016-12-08 0:00,52.05128438
2016-12-09 0:00,-278.3891546
2016-12-10 0:00,-409.8362427
2016-12-11 0:00,55.09308776
2016-12-12 0:00,-178.8306345
2016-12-13 0:00,-112.1434915
2016-12-14 0:00,-201.2135723
2016-12-15 0:00,-277.3655992
2016-12-16 0:00,-51.85251877
2016-12-17 0:00,-124.2531896
2016-12-18 0:00,-237.9572296
2016-12-19 0:00,59.76974598
2016-12-20 0:00,59.4957918
2016-12-21 0:00,-210.131481
2016-12-22 0:00,-18.9142095
2016-12-23 0:00,-320.9711824
2016-12-24 0:00,-639.6481696
2016-12-25 0:00,-331.5597955
2016-12-26 0:00,169.1549602
2016-12-27 0:00,-383.0287473
2016-12-28 0:00,624.0689725
2016-12-29 0:00,400.3428414
2016-12-30 0:00,-647.8125632
2016-12-31 0:00,600.0455874
2017-01-01 0:00,5.426695545
2017-01-02 0:00,-158.3512731
2017-01-03 0:00,-30.19044246
2017-01-04 0:00,-210.8703896
2017-01-05 0:00,224.5696515
2017-01-06 0:00,-130.9628872
2017-01-07 0:00,466.2894263
2017-01-08 0:00,474.2681872
2017-01-09 0:00,-187.4924526
2017-01-10 0:00,57.76414098
2017-01-11 0:00,57.54862632
2017-01-12 0:00,606.4909184
2017-01-13 0:00,227.316845
2017-01-14 0:00,-489.4351329
